Preparing X for polydeg: 1... Time: 0:0:3
Batch size;Score;Time
12.24292;4;0.00000;0.00000;0:0:21
12.25396;4;0.00000;0.00001;0:0:21
12.26033;4;0.00000;0.00010;0:0:21
12.24339;4;0.00000;0.00100;0:0:21
12.40581;4;0.00000;0.01000;0:0:21
13.22770;4;0.00000;0.10000;0:0:21
12.22519;4;0.00001;0.00000;0:0:21
12.24680;4;0.00001;0.00001;0:0:21
12.25773;4;0.00001;0.00010;0:0:21
12.28639;4;0.00001;0.00100;0:0:21
12.39414;4;0.00001;0.01000;0:0:21
13.30725;4;0.00001;0.10000;0:0:21
12.26297;4;0.00010;0.00000;0:0:21
12.21616;4;0.00010;0.00001;0:0:21
12.26651;4;0.00010;0.00010;0:0:21
12.27753;4;0.00010;0.00100;0:0:21
12.42662;4;0.00010;0.01000;0:0:21
13.30192;4;0.00010;0.10000;0:0:21
12.25909;4;0.00100;0.00000;0:0:21
12.24864;4;0.00100;0.00001;0:0:21
12.26221;4;0.00100;0.00010;0:0:21
12.25753;4;0.00100;0.00100;0:0:21
12.40010;4;0.00100;0.01000;0:0:21
13.28253;4;0.00100;0.10000;0:0:21
12.28404;4;0.01000;0.00000;0:0:21
12.26890;4;0.01000;0.00001;0:0:21
12.23940;4;0.01000;0.00010;0:0:21
12.25412;4;0.01000;0.00100;0:0:21
12.37697;4;0.01000;0.01000;0:0:21
13.24070;4;0.01000;0.10000;0:0:21
12.41258;4;0.10000;0.00000;0:0:21
12.41442;4;0.10000;0.00001;0:0:21
12.45919;4;0.10000;0.00010;0:0:21
12.50244;4;0.10000;0.00100;0:0:21
12.59990;4;0.10000;0.01000;0:0:21
13.30245;4;0.10000;0.10000;0:0:21
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 5... Time: 0:0:3
Score;Polydeg;Alpha 1;Alpha 2;Time
12.23848;5;0.00000;0.00000;0:0:21
12.24168;5;0.00000;0.00001;0:0:21
12.23734;5;0.00000;0.00010;0:0:21
12.25872;5;0.00000;0.00100;0:0:21
12.38550;5;0.00000;0.01000;0:0:21
13.30992;5;0.00000;0.10000;0:0:21
12.21081;5;0.00001;0.00000;0:0:21
12.21851;5;0.00001;0.00001;0:0:21
12.25801;5;0.00001;0.00010;0:0:21
12.27181;5;0.00001;0.00100;0:0:21
12.40731;5;0.00001;0.01000;0:0:21
13.18478;5;0.00001;0.10000;0:0:21
12.26439;5;0.00010;0.00000;0:0:21
12.23737;5;0.00010;0.00001;0:0:21
12.24682;5;0.00010;0.00010;0:0:21
12.27006;5;0.00010;0.00100;0:0:21
12.42808;5;0.00010;0.01000;0:0:21
13.18887;5;0.00010;0.10000;0:0:21
12.25778;5;0.00100;0.00000;0:0:21
12.25446;5;0.00100;0.00001;0:0:21
12.24748;5;0.00100;0.00010;0:0:21
12.25637;5;0.00100;0.00100;0:0:21
12.38090;5;0.00100;0.01000;0:0:21
13.28154;5;0.00100;0.10000;0:0:21
12.21015;5;0.01000;0.00000;0:0:21
12.26884;5;0.01000;0.00001;0:0:21
12.27769;5;0.01000;0.00010;0:0:21
12.28662;5;0.01000;0.00100;0:0:21
12.40677;5;0.01000;0.01000;0:0:21
13.28328;5;0.01000;0.10000;0:0:21
12.44817;5;0.10000;0.00000;0:0:21
12.47057;5;0.10000;0.00001;0:0:21
12.46116;5;0.10000;0.00010;0:0:21
12.43836;5;0.10000;0.00100;0:0:21
12.57384;5;0.10000;0.01000;0:0:21
13.33364;5;0.10000;0.10000;0:0:21
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 6... Time: 0:0:3
Score;Polydeg;Alpha 1;Alpha 2;Time
12.24507;6;0.00000;0.00000;0:0:21
12.24452;6;0.00000;0.00001;0:0:21
12.25240;6;0.00000;0.00010;0:0:21
12.27216;6;0.00000;0.00100;0:0:21
12.43840;6;0.00000;0.01000;0:0:21
13.29035;6;0.00000;0.10000;0:0:21
12.23984;6;0.00001;0.00000;0:0:21
12.23348;6;0.00001;0.00001;0:0:21
12.24799;6;0.00001;0.00010;0:0:21
12.27107;6;0.00001;0.00100;0:0:21
12.41424;6;0.00001;0.01000;0:0:21
13.32764;6;0.00001;0.10000;0:0:21
12.23205;6;0.00010;0.00000;0:0:21
12.24677;6;0.00010;0.00001;0:0:21
12.26887;6;0.00010;0.00010;0:0:21
12.24095;6;0.00010;0.00100;0:0:21
12.41309;6;0.00010;0.01000;0:0:21
13.22643;6;0.00010;0.10000;0:0:21
12.20882;6;0.00100;0.00000;0:0:21
12.20193;6;0.00100;0.00001;0:0:21
12.25070;6;0.00100;0.00010;0:0:21
12.25148;6;0.00100;0.00100;0:0:21
12.36877;6;0.00100;0.01000;0:0:21
13.23188;6;0.00100;0.10000;0:0:21
12.24378;6;0.01000;0.00000;0:0:21
12.28201;6;0.01000;0.00001;0:0:21
12.27695;6;0.01000;0.00010;0:0:21
12.28685;6;0.01000;0.00100;0:0:21
12.41811;6;0.01000;0.01000;0:0:21
13.27078;6;0.01000;0.10000;0:0:21
12.45734;6;0.10000;0.00000;0:0:21
12.47110;6;0.10000;0.00001;0:0:21
12.49853;6;0.10000;0.00010;0:0:21
12.46594;6;0.10000;0.00100;0:0:21
12.59838;6;0.10000;0.01000;0:0:21
13.30214;6;0.10000;0.10000;0:0:21
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 7... Time: 0:0:3
Score;Polydeg;Alpha 1;Alpha 2;Time
12.23887;7;0.00000;0.00000;0:0:21
12.23272;7;0.00000;0.00001;0:0:21
12.24718;7;0.00000;0.00010;0:0:21
12.24020;7;0.00000;0.00100;0:0:21
12.39435;7;0.00000;0.01000;0:0:21
13.29028;7;0.00000;0.10000;0:0:21
12.21583;7;0.00001;0.00000;0:0:21
12.24157;7;0.00001;0.00001;0:0:21
12.27236;7;0.00001;0.00010;0:0:21
12.23447;7;0.00001;0.00100;0:0:21
12.39647;7;0.00001;0.01000;0:0:21
13.26366;7;0.00001;0.10000;0:0:21
12.22841;7;0.00010;0.00000;0:0:21
12.22993;7;0.00010;0.00001;0:0:21
12.26127;7;0.00010;0.00010;0:0:21
12.22427;7;0.00010;0.00100;0:0:21
12.38816;7;0.00010;0.01000;0:0:21
13.22016;7;0.00010;0.10000;0:0:21
12.23758;7;0.00100;0.00000;0:0:21
12.27837;7;0.00100;0.00001;0:0:21
12.28054;7;0.00100;0.00010;0:0:21
12.25359;7;0.00100;0.00100;0:0:21
12.37947;7;0.00100;0.01000;0:0:21
13.23867;7;0.00100;0.10000;0:0:21
12.24111;7;0.01000;0.00000;0:0:21
12.27609;7;0.01000;0.00001;0:0:21
12.26177;7;0.01000;0.00010;0:0:21
12.26366;7;0.01000;0.00100;0:0:21
12.40540;7;0.01000;0.01000;0:0:21
13.27350;7;0.01000;0.10000;0:0:21
12.48814;7;0.10000;0.00000;0:0:21
12.47836;7;0.10000;0.00001;0:0:21
12.42508;7;0.10000;0.00010;0:0:21
12.44868;7;0.10000;0.00100;0:0:21
12.60367;7;0.10000;0.01000;0:0:21
13.36303;7;0.10000;0.10000;0:0:21
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 8... Time: 0:0:3
Score;Polydeg;Alpha 1;Alpha 2;Time
12.27573;8;0.00000;0.00000;0:0:21
12.24874;8;0.00000;0.00001;0:0:21
12.24379;8;0.00000;0.00010;0:0:21
12.26209;8;0.00000;0.00100;0:0:21
12.41116;8;0.00000;0.01000;0:0:21
13.23285;8;0.00000;0.10000;0:0:21
12.24497;8;0.00001;0.00000;0:0:21
12.21729;8;0.00001;0.00001;0:0:21
12.23372;8;0.00001;0.00010;0:0:21
12.25050;8;0.00001;0.00100;0:0:21
12.40205;8;0.00001;0.01000;0:0:21
13.38060;8;0.00001;0.10000;0:0:21
12.24794;8;0.00010;0.00000;0:0:21
12.27997;8;0.00010;0.00001;0:0:21
12.24395;8;0.00010;0.00010;0:0:21
12.26433;8;0.00010;0.00100;0:0:21
12.43350;8;0.00010;0.01000;0:0:21
13.25439;8;0.00010;0.10000;0:0:21
12.26680;8;0.00100;0.00000;0:0:21
12.23203;8;0.00100;0.00001;0:0:21
12.24831;8;0.00100;0.00010;0:0:21
12.24064;8;0.00100;0.00100;0:0:21
12.39820;8;0.00100;0.01000;0:0:21
13.23417;8;0.00100;0.10000;0:0:21
12.26870;8;0.01000;0.00000;0:0:21
12.23450;8;0.01000;0.00001;0:0:21
12.28095;8;0.01000;0.00010;0:0:21
12.27598;8;0.01000;0.00100;0:0:21
12.40290;8;0.01000;0.01000;0:0:21
13.31673;8;0.01000;0.10000;0:0:21
12.43922;8;0.10000;0.00000;0:0:21
12.42868;8;0.10000;0.00001;0:0:21
12.45694;8;0.10000;0.00010;0:0:21
12.47786;8;0.10000;0.00100;0:0:21
12.61061;8;0.10000;0.01000;0:0:21
13.26785;8;0.10000;0.10000;0:0:21
-------------------------------------------------------------------------------------------
0.00000 - 0.00000;0.00000 - 0.00001;0.00000 - 0.00010;0.00000 - 0.00100;0.00000 - 0.01000;0.00000 - 0.10000;0.00001 - 0.00000;0.00001 - 0.00001;0.00001 - 0.00010;0.00001 - 0.00100;0.00001 - 0.01000;0.00001 - 0.10000;0.00010 - 0.00000;0.00010 - 0.00001;0.00010 - 0.00010;0.00010 - 0.00100;0.00010 - 0.01000;0.00010 - 0.10000;0.00100 - 0.00000;0.00100 - 0.00001;0.00100 - 0.00010;0.00100 - 0.00100;0.00100 - 0.01000;0.00100 - 0.10000;0.01000 - 0.00000;0.01000 - 0.00001;0.01000 - 0.00010;0.01000 - 0.00100;0.01000 - 0.01000;0.01000 - 0.10000;0.10000 - 0.00000;0.10000 - 0.00001;0.10000 - 0.00010;0.10000 - 0.00100;0.10000 - 0.01000;0.10000 - 0.10000;
1;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;
2;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;
3;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;
