0,038
0,055
0,097
0,154
0,186
0,222
0,245
0,26
0,302
0,395
0,499
0,616
0,746
0,888
1,041
1,21
1,39
1,58
1,78
2
2,23
2,47
2,72
2,98
3,26
3,55
3,85
4,17
4,5
4,83
5,18
5,55
5,92
6,31
6,71
7,13
7,55
7,99
8,44
8,9
9,38
9,86
10,36
10,88
11,4
11,94
12,48
13,05
13,75
14,2
14,8
15,42
16,03
16,67
17,32
17,65
18,65
19,33
20,02
20,74
21,45
22,19
22,93
23,7
24,47
26,05
27,68
28,51
30,21
31,96
34,68
39,46
41,46
44,54
49,94
55,64
61,65
67,97
74,6
81,54
88,78
96,33
104,2
112,31
120,78
129,56
138,65
148,05
157,75
167,77
178,09
188,72
199,66
210,9
222,46
234,32
246,49
258,97
9,46
8,1
11,5
8,7
10,4
13,7
10,5
12,9
15,9
12,7
15,8
18,4
19,9
15,4
21
22,7
22,4
30,6
41,5
46,9
24
25,8
36,2
52,2
59,5
28
91,30
109,7
125,9
144,5
48,10
54,7
96,1
111,1
123,4
138
165,6
202,3
242,2
291,2
59,8
67,5
73
80,7
114,4
138,7
156,4
174,1
89
97,9
106,2
115,6
0,5
0,79
1,13
1,54
2,01
2,54
3,14
3,8
4,91
7,07
9,62
12,56
19,63
28,26
38,47
50,24
63,59
78,5
94,99
113,04
122,66
132,67
153,86
176,63
200,96
226,87
254,34
283,39
314
490,63
706,5
961,63
1256
3,93
4,32
5,5
6,28
7,06
7,85
9,42
11,77
15,7
19,62
23,55
31,4
39,25
47,1
54,95
62,8
70,65
78,5
94,2
109,9
125,6
141,3
157
196,25
235,5
314
392,5
471
0,63
0,78
0,94
1,26
1,96
2,93
5,02
7,85
0,89
1,15
1,12
1,46
1,46
1,91
1,6
2,1
1,85
2,42
2,98
2,08
2,73
3,37
2,32
3,05
3,77
4,47
3,44
4,25
3,91
4,81
5,72
5,38
6,39
7,39
8,37
5,8
6,89
7,96
9,02
10,07
7,36
8,51
9,65
8,33
9,34
10,93
12,2
10,8
14,3
15,1
17,9
20,6
23,3
11,9
13,5
15,5
17,3
19,1
22,7
26,2
29,7
19,4
21,5
25,5
24,7
27
28,4
34
38,5
43
47,4
30,5
33,1
37
39,9
42,8
48,7
60,1
74
87,6
47,4
53,8
61,6
68,9
76,1
83,3
94
104,5
111,4
 
2,2
2,81
3,46
3,91
4,63
4,79
4,49
5,92
6,7
8,77
7,53
8,7
9,87
10,93
12,58
15,47
14,13
17,46
17,96
19,85
23,58
27,37
4,84
5,9
7,05
8,59
10,4
12,3
14,2
16,3
18,4
21
24
27,7
31,8
48,3
0,68
0,82
0,98
1,15
1,33
1,53
1,74
1,96
2,2
2,45
2,72
3
3,29
3,92
4,25
4,59
4,96
5,33
5,27
6,12
6,96
7,86
8,81
9,82
10,86
11,54
11,99
12,71
14,53
14,95
15,66
16,98
18,4
20,58
22,35
24,5
28,7
