Preparing X for polydeg: 1... Time: 0:0:48
Batch size;accuracy;Time
8;86.07000;0:0:5
90.69000;4;0.00000;0.00000;0:0:20
90.67000;4;0.00000;0.00001;0:0:20
90.68000;4;0.00000;0.00010;0:0:20
90.40000;4;0.00000;0.00100;0:0:20
89.07000;4;0.00000;0.01000;0:0:20
86.29000;4;0.00000;0.10000;0:0:20
90.69000;4;0.00001;0.00000;0:0:20
90.74000;4;0.00001;0.00001;0:0:20
90.66000;4;0.00001;0.00010;0:0:20
90.45000;4;0.00001;0.00100;0:0:20
89.01000;4;0.00001;0.01000;0:0:20
86.06000;4;0.00001;0.10000;0:0:20
90.62000;4;0.00010;0.00000;0:0:20
90.62000;4;0.00010;0.00001;0:0:20
90.65000;4;0.00010;0.00010;0:0:20
90.53000;4;0.00010;0.00100;0:0:20
89.11000;4;0.00010;0.01000;0:0:20
85.87000;4;0.00010;0.10000;0:0:20
90.28000;4;0.00100;0.00000;0:0:20
90.38000;4;0.00100;0.00001;0:0:20
90.29000;4;0.00100;0.00010;0:0:20
90.01000;4;0.00100;0.00100;0:0:20
88.69000;4;0.00100;0.01000;0:0:20
85.99000;4;0.00100;0.10000;0:0:20
87.23000;4;0.01000;0.00000;0:0:20
87.23000;4;0.01000;0.00001;0:0:20
87.41000;4;0.01000;0.00010;0:0:20
87.17000;4;0.01000;0.00100;0:0:20
86.18000;4;0.01000;0.01000;0:0:20
84.12000;4;0.01000;0.10000;0:0:20
38.21000;4;0.10000;0.00000;0:0:20
42.06000;4;0.10000;0.00001;0:0:20
42.07000;4;0.10000;0.00010;0:0:20
41.39000;4;0.10000;0.00100;0:0:20
43.17000;4;0.10000;0.01000;0:0:20
47.18000;4;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 5... Time: 0:0:49
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.82000;5;0.00000;0.00000;0:0:20
90.77000;5;0.00000;0.00001;0:0:20
90.68000;5;0.00000;0.00010;0:0:20
90.43000;5;0.00000;0.00100;0:0:20
88.99000;5;0.00000;0.01000;0:0:20
86.26000;5;0.00000;0.10000;0:0:20
90.68000;5;0.00001;0.00000;0:0:20
90.72000;5;0.00001;0.00001;0:0:20
90.60000;5;0.00001;0.00010;0:0:20
90.54000;5;0.00001;0.00100;0:0:20
89.05000;5;0.00001;0.01000;0:0:20
85.98000;5;0.00001;0.10000;0:0:20
90.58000;5;0.00010;0.00000;0:0:20
90.68000;5;0.00010;0.00001;0:0:20
90.61000;5;0.00010;0.00010;0:0:20
90.56000;5;0.00010;0.00100;0:0:20
89.08000;5;0.00010;0.01000;0:0:20
86.16000;5;0.00010;0.10000;0:0:20
90.38000;5;0.00100;0.00000;0:0:20
90.27000;5;0.00100;0.00001;0:0:20
90.22000;5;0.00100;0.00010;0:0:20
90.14000;5;0.00100;0.00100;0:0:20
88.76000;5;0.00100;0.01000;0:0:20
85.77000;5;0.00100;0.10000;0:0:20
87.37000;5;0.01000;0.00000;0:0:20
87.33000;5;0.01000;0.00001;0:0:20
87.33000;5;0.01000;0.00010;0:0:20
87.21000;5;0.01000;0.00100;0:0:20
86.24000;5;0.01000;0.01000;0:0:20
83.81000;5;0.01000;0.10000;0:0:20
40.83000;5;0.10000;0.00000;0:0:20
42.43000;5;0.10000;0.00001;0:0:20
40.82000;5;0.10000;0.00010;0:0:20
42.33000;5;0.10000;0.00100;0:0:20
45.88000;5;0.10000;0.01000;0:0:20
48.59000;5;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 6... Time: 0:0:50
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.69000;6;0.00000;0.00000;0:0:20
90.66000;6;0.00000;0.00001;0:0:20
90.61000;6;0.00000;0.00010;0:0:20
90.38000;6;0.00000;0.00100;0:0:20
88.91000;6;0.00000;0.01000;0:0:20
86.11000;6;0.00000;0.10000;0:0:20
90.79000;6;0.00001;0.00000;0:0:20
90.71000;6;0.00001;0.00001;0:0:20
90.67000;6;0.00001;0.00010;0:0:20
90.49000;6;0.00001;0.00100;0:0:20
89.11000;6;0.00001;0.01000;0:0:20
85.69000;6;0.00001;0.10000;0:0:20
90.75000;6;0.00010;0.00000;0:0:20
90.74000;6;0.00010;0.00001;0:0:20
90.64000;6;0.00010;0.00010;0:0:20
90.46000;6;0.00010;0.00100;0:0:20
88.93000;6;0.00010;0.01000;0:0:20
85.98000;6;0.00010;0.10000;0:0:20
90.27000;6;0.00100;0.00000;0:0:20
90.25000;6;0.00100;0.00001;0:0:20
90.27000;6;0.00100;0.00010;0:0:20
90.06000;6;0.00100;0.00100;0:0:20
88.76000;6;0.00100;0.01000;0:0:20
86.03000;6;0.00100;0.10000;0:0:20
87.48000;6;0.01000;0.00000;0:0:20
87.47000;6;0.01000;0.00001;0:0:20
87.33000;6;0.01000;0.00010;0:0:20
87.22000;6;0.01000;0.00100;0:0:20
86.25000;6;0.01000;0.01000;0:0:20
84.24000;6;0.01000;0.10000;0:0:20
40.62000;6;0.10000;0.00000;0:0:20
41.12000;6;0.10000;0.00001;0:0:20
38.87000;6;0.10000;0.00010;0:0:20
42.42000;6;0.10000;0.00100;0:0:20
43.50000;6;0.10000;0.01000;0:0:20
49.20000;6;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 7... Time: 0:0:51
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.71000;7;0.00000;0.00000;0:0:20
90.73000;7;0.00000;0.00001;0:0:20
90.64000;7;0.00000;0.00010;0:0:20
90.52000;7;0.00000;0.00100;0:0:20
89.02000;7;0.00000;0.01000;0:0:20
85.78000;7;0.00000;0.10000;0:0:20
90.66000;7;0.00001;0.00000;0:0:20
90.66000;7;0.00001;0.00001;0:0:20
90.65000;7;0.00001;0.00010;0:0:20
90.45000;7;0.00001;0.00100;0:0:20
89.14000;7;0.00001;0.01000;0:0:20
86.20000;7;0.00001;0.10000;0:0:20
90.64000;7;0.00010;0.00000;0:0:20
90.70000;7;0.00010;0.00001;0:0:20
90.76000;7;0.00010;0.00010;0:0:20
90.39000;7;0.00010;0.00100;0:0:20
89.01000;7;0.00010;0.01000;0:0:20
85.88000;7;0.00010;0.10000;0:0:20
90.25000;7;0.00100;0.00000;0:0:20
90.25000;7;0.00100;0.00001;0:0:20
90.33000;7;0.00100;0.00010;0:0:20
90.15000;7;0.00100;0.00100;0:0:20
88.71000;7;0.00100;0.01000;0:0:20
85.81000;7;0.00100;0.10000;0:0:20
87.38000;7;0.01000;0.00000;0:0:20
87.31000;7;0.01000;0.00001;0:0:20
87.36000;7;0.01000;0.00010;0:0:20
87.29000;7;0.01000;0.00100;0:0:20
86.37000;7;0.01000;0.01000;0:0:20
84.00000;7;0.01000;0.10000;0:0:20
44.26000;7;0.10000;0.00000;0:0:20
44.10000;7;0.10000;0.00001;0:0:20
42.75000;7;0.10000;0.00010;0:0:20
40.97000;7;0.10000;0.00100;0:0:20
43.41000;7;0.10000;0.01000;0:0:20
45.27000;7;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 8... Time: 0:0:51
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.62000;8;0.00000;0.00000;0:0:20
90.74000;8;0.00000;0.00001;0:0:20
90.78000;8;0.00000;0.00010;0:0:20
90.46000;8;0.00000;0.00100;0:0:20
89.16000;8;0.00000;0.01000;0:0:20
86.21000;8;0.00000;0.10000;0:0:20
90.64000;8;0.00001;0.00000;0:0:20
90.70000;8;0.00001;0.00001;0:0:20
90.70000;8;0.00001;0.00010;0:0:20
90.48000;8;0.00001;0.00100;0:0:20
89.12000;8;0.00001;0.01000;0:0:20
86.09000;8;0.00001;0.10000;0:0:20
90.60000;8;0.00010;0.00000;0:0:20
90.77000;8;0.00010;0.00001;0:0:20
90.64000;8;0.00010;0.00010;0:0:20
90.43000;8;0.00010;0.00100;0:0:20
89.01000;8;0.00010;0.01000;0:0:20
86.17000;8;0.00010;0.10000;0:0:20
90.34000;8;0.00100;0.00000;0:0:20
90.26000;8;0.00100;0.00001;0:0:20
90.20000;8;0.00100;0.00010;0:0:20
90.12000;8;0.00100;0.00100;0:0:20
88.79000;8;0.00100;0.01000;0:0:20
85.95000;8;0.00100;0.10000;0:0:20
87.28000;8;0.01000;0.00000;0:0:20
87.33000;8;0.01000;0.00001;0:0:20
87.31000;8;0.01000;0.00010;0:0:20
87.19000;8;0.01000;0.00100;0:0:20
86.43000;8;0.01000;0.01000;0:0:20
84.22000;8;0.01000;0.10000;0:0:20
40.89000;8;0.10000;0.00000;0:0:20
41.55000;8;0.10000;0.00001;0:0:20
40.95000;8;0.10000;0.00010;0:0:20
42.29000;8;0.10000;0.00100;0:0:20
42.66000;8;0.10000;0.01000;0:0:20
46.41000;8;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
0.00000 - 0.00000;0.00000 - 0.00001;0.00000 - 0.00010;0.00000 - 0.00100;0.00000 - 0.01000;0.00000 - 0.10000;0.00001 - 0.00000;0.00001 - 0.00001;0.00001 - 0.00010;0.00001 - 0.00100;0.00001 - 0.01000;0.00001 - 0.10000;0.00010 - 0.00000;0.00010 - 0.00001;0.00010 - 0.00010;0.00010 - 0.00100;0.00010 - 0.01000;0.00010 - 0.10000;0.00100 - 0.00000;0.00100 - 0.00001;0.00100 - 0.00010;0.00100 - 0.00100;0.00100 - 0.01000;0.00100 - 0.10000;0.01000 - 0.00000;0.01000 - 0.00001;0.01000 - 0.00010;0.01000 - 0.00100;0.01000 - 0.01000;0.01000 - 0.10000;0.10000 - 0.00000;0.10000 - 0.00001;0.10000 - 0.00010;0.10000 - 0.00100;0.10000 - 0.01000;0.10000 - 0.10000;
1;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;
2;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;
3;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;
4;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;
5;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;
6;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;
7;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;
8;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;90.82000;
-------------------------------------------------------------------------------------------
Max accuracy: 90.82000%; polydeg: 5; alpha 1: 0.00000; alpha 2: 0.00000
learning rate: 0.0012; batch size: 256; train steps: 10000
-------------------------------------------------------------------------------------------
Min accuracy: 38.21000%; polydeg: 4; alpha 1: 0.10000; alpha 2: 0.00000
learning rate: 0.0010; batch size: 8; train steps: 100
-------------------------------------------------------------------------------------------
Best model... Time: 0:1:16; Test accuracy: 90.65000%
Total time of all calculations: 1:53:24
Drawing plots... Time: 0:0:12
